,region,year,no_of_accidents,no_of_casualties_dead,no_of_casualties_injured,no.driving_liceses,x,y
0,Al-Baaha,2016,3618.0,185.0,1227.0,4614,20.148405,41.4665484892
1,Al-Jouf,2016,10212.0,245.0,920.0,9371,29.967745,39.5570371172
2,Asir,2016,32684.0,983.0,2541.0,41367,19.138784,42.941470036
3,Eastern Region,2016,101619.0,1113.0,4893.0,142307,23.28833,50.1478302439
4,Hail,2016,10199.0,299.0,932.0,54507,27.400846,41.4406960508
5,Jazan,2016,25873.0,514.0,2259.0,11504,17.207232,42.6525807422
6,Madinah,2016,14475.0,822.0,4184.0,24540,24.927534,39.4918237173
7,Makkah,2016,134838.0,2243.0,12383.0,136055,21.628963,41.2636898334
8,Najran,2016,3235.0,173.0,706.0,2153,18.4511,46.868849572600006
9,Northern Boarder,2016,13196.0,193.0,631.0,4958,30.197075,41.8171186952
10,Qassim,2016,25664.0,397.0,1513.0,9180,26.196707,43.3429998455
11,Riyadh,2016,141736.0,1430.0,4207.0,242851,23.081434,45.5857512766
12,Tabouk,2016,16031.0,434.0,1724.0,13610,27.901655,37.2598581394
13,Al-Baaha,2017,1414.0,134.0,1007.0,4131,20.148405,41.4665484892
14,Al-Jouf,2017,10469.0,240.0,862.0,8091,29.967745,39.5570371172
15,Asir,2017,25245.0,828.0,2368.0,39133,19.138784,42.941470036
16,Eastern Region,2017,81433.0,963.0,4073.0,126816,23.28833,50.1478302439
17,Hail,2017,9379.0,265.0,773.0,22035,27.400846,41.4406960508
18,Jazan,2017,22161.0,466.0,2207.0,18345,17.207232,42.6525807422
19,Madinah,2017,16070.0,580.0,2917.0,36165,24.927534,39.4918237173
20,Makkah,2017,145541.0,1641.0,10623.0,142487,21.628963,41.2636898334
21,Najran,2017,3193.0,194.0,766.0,13825,18.4511,46.868849572600006
22,Northern Boarder,2017,11540.0,112.0,374.0,5280,30.197075,41.8171186952
23,Qassim,2017,22405.0,319.0,1446.0,6318,26.196707,43.3429998455
24,Riyadh,2017,99925.0,1399.0,4540.0,495307,23.081434,45.5857512766
25,Tabouk,2017,11713.0,348.0,1243.0,10232,27.901655,37.2598581394
26,Makkah,2012,,,,143954,21.628963,41.2636898334
27,Makkah,1994,,,,75349,21.628963,41.2636898334
28,Makkah,1998,,,,86082,21.628963,41.2636898334
29,Makkah,2004,,,,86636,21.628963,41.2636898334
30,Makkah,2005,,,,65099,21.628963,41.2636898334
31,Makkah,2008,,,,77013,21.628963,41.2636898334
32,Madinah,2014,,,,31447,24.927534,39.4918237173
33,Madinah,2013,,,,28513,24.927534,39.4918237173
34,Madinah,2012,,,,14459,24.927534,39.4918237173
35,Madinah,1994,,,,3767,24.927534,39.4918237173
36,Madinah,1998,,,,13020,24.927534,39.4918237173
37,Madinah,2000,,,,9562,24.927534,39.4918237173
38,Madinah,2007,,,,12174,24.927534,39.4918237173
39,Madinah,2004,,,,10556,24.927534,39.4918237173
40,Qassim,1995,,,,49690,26.196707,43.3429998455
41,Qassim,1996,,,,42693,26.196707,43.3429998455
42,Eastern Region,2015,,,,135752,23.28833,50.1478302439
43,Asir,2015,,,,38567,19.138784,42.941470036
44,Asir,1995,,,,4889,19.138784,42.941470036
45,Asir,1996,,,,3319,19.138784,42.941470036
46,Asir,1998,,,,13220,19.138784,42.941470036
47,Tabouk,2010,,,,10345,27.901655,37.2598581394
48,Tabouk,2013,,,,12848,27.901655,37.2598581394
49,Tabouk,1996,,,,2263,27.901655,37.2598581394
50,Tabouk,1998,,,,6823,27.901655,37.2598581394
51,Tabouk,2001,,,,6344,27.901655,37.2598581394
52,Tabouk,2007,,,,11045,27.901655,37.2598581394
53,Hail,2007,,,,4021,27.400846,41.4406960508
54,Hail,2004,,,,8656,27.400846,41.4406960508
55,Hail,2005,,,,16247,27.400846,41.4406960508
56,Hail,2009,,,,7282,27.400846,41.4406960508
57,Northern Boarder,2012,,,,3706,30.197075,41.8171186952
58,Northern Boarder,1993,,,,1510,30.197075,41.8171186952
59,Northern Boarder,2000,,,,2894,30.197075,41.8171186952
60,Northern Boarder,2005,,,,1804,30.197075,41.8171186952
61,Jazan,2010,,,,12270,17.207232,42.6525807422
62,Jazan,1993,,,,6009,17.207232,42.6525807422
63,Jazan,1997,,,,5695,17.207232,42.6525807422
64,Jazan,2000,,,,5678,17.207232,42.6525807422
65,Jazan,2001,,,,10631,17.207232,42.6525807422
66,Jazan,2008,,,,11346,17.207232,42.6525807422
67,Najran,2010,,,,6360,18.4511,46.868849572600006
68,Najran,2013,,,,8996,18.4511,46.868849572600006
69,Najran,1995,,,,3268,18.4511,46.868849572600006
70,Najran,1999,,,,3959,18.4511,46.868849572600006
71,Najran,2003,,,,4443,18.4511,46.868849572600006
72,Najran,2009,,,,6771,18.4511,46.868849572600006
73,Al-Baaha,2015,,,,4856,20.148405,41.4665484892
74,Al-Baaha,2011,,,,6450,20.148405,41.4665484892
75,Al-Baaha,1994,,,,2729,20.148405,41.4665484892
76,Al-Baaha,1996,,,,1468,20.148405,41.4665484892
77,Al-Jouf,2010,,,,10937,29.967745,39.5570371172
78,Al-Jouf,1996,,,,2518,29.967745,39.5570371172
79,Al-Jouf,2000,,,,4666,29.967745,39.5570371172
80,Al-Jouf,2001,,,,4756,29.967745,39.5570371172
81,Riyadh,2011,,,,27772,23.081434,45.5857512766
82,Riyadh,2013,,,,165994,23.081434,45.5857512766
83,Riyadh,1999,,,,100291,23.081434,45.5857512766
84,Riyadh,2005,,,,23245,23.081434,45.5857512766
85,Makkah,2015,,,,157389,21.628963,41.2636898334
86,Makkah,2013,,,,131108,21.628963,41.2636898334
87,Riyadh,1997,,,,92145,23.081434,45.5857512766
88,Riyadh,2001,,,,13090,23.081434,45.5857512766
89,Makkah,2014,,,,149234,21.628963,41.2636898334
90,Makkah,2010,,,,113531,21.628963,41.2636898334
91,Makkah,1997,,,,76623,21.628963,41.2636898334
92,Makkah,1999,,,,103535,21.628963,41.2636898334
93,Makkah,2000,,,,87053,21.628963,41.2636898334
94,Makkah,2006,,,,66967,21.628963,41.2636898334
95,Makkah,2009,,,,112045,21.628963,41.2636898334
96,Madinah,2010,,,,15045,24.927534,39.4918237173
97,Madinah,1995,,,,4155,24.927534,39.4918237173
98,Madinah,1996,,,,3425,24.927534,39.4918237173
99,Madinah,1999,,,,11108,24.927534,39.4918237173
100,Madinah,2003,,,,12920,24.927534,39.4918237173
101,Qassim,2015,,,,13631,26.196707,43.3429998455
102,Qassim,2014,,,,29113,26.196707,43.3429998455
103,Qassim,2010,,,,36737,26.196707,43.3429998455
104,Qassim,2013,,,,17889,26.196707,43.3429998455
105,Qassim,1994,,,,68916,26.196707,43.3429998455
106,Qassim,2003,,,,10666,26.196707,43.3429998455
107,Qassim,2000,,,,12226,26.196707,43.3429998455
108,Qassim,2006,,,,12142,26.196707,43.3429998455
109,Qassim,2007,,,,25174,26.196707,43.3429998455
110,Eastern Region,2011,,,,151087,23.28833,50.1478302439
111,Eastern Region,2012,,,,129971,23.28833,50.1478302439
112,Asir,2012,,,,23136,19.138784,42.941470036
113,Asir,1997,,,,12204,19.138784,42.941470036
114,Asir,2003,,,,15693,19.138784,42.941470036
115,Asir,2008,,,,18800,19.138784,42.941470036
116,Tabouk,2011,,,,12820,27.901655,37.2598581394
117,Tabouk,1994,,,,3282,27.901655,37.2598581394
118,Tabouk,2003,,,,9873,27.901655,37.2598581394
119,Tabouk,2008,,,,14928,27.901655,37.2598581394
120,Tabouk,2009,,,,9424,27.901655,37.2598581394
121,Hail,2014,,,,10417,27.400846,41.4406960508
122,Hail,2010,,,,7637,27.400846,41.4406960508
123,Hail,1995,,,,9735,27.400846,41.4406960508
124,Hail,2002,,,,5070,27.400846,41.4406960508
125,Hail,2001,,,,6077,27.400846,41.4406960508
126,Hail,2008,,,,7413,27.400846,41.4406960508
127,Northern Boarder,2011,,,,4314,30.197075,41.8171186952
128,Northern Boarder,1999,,,,2311,30.197075,41.8171186952
129,Northern Boarder,1998,,,,2014,30.197075,41.8171186952
130,Northern Boarder,2001,,,,2971,30.197075,41.8171186952
131,Northern Boarder,2006,,,,2573,30.197075,41.8171186952
132,Northern Boarder,2004,,,,1922,30.197075,41.8171186952
133,Jazan,2014,,,,15621,17.207232,42.6525807422
134,Jazan,2011,,,,10946,17.207232,42.6525807422
135,Jazan,1994,,,,3826,17.207232,42.6525807422
136,Jazan,1999,,,,4792,17.207232,42.6525807422
137,Jazan,2009,,,,9437,17.207232,42.6525807422
138,Najran,2012,,,,9201,18.4511,46.868849572600006
139,Najran,2000,,,,4905,18.4511,46.868849572600006
140,Najran,2006,,,,5897,18.4511,46.868849572600006
141,Najran,2007,,,,7226,18.4511,46.868849572600006
142,Al-Baaha,2014,,,,7268,20.148405,41.4665484892
143,Al-Baaha,2012,,,,7593,20.148405,41.4665484892
144,Al-Baaha,1993,,,,3270,20.148405,41.4665484892
145,Al-Baaha,1995,,,,2423,20.148405,41.4665484892
146,Al-Baaha,1998,,,,5110,20.148405,41.4665484892
147,Al-Baaha,2002,,,,3335,20.148405,41.4665484892
148,Al-Baaha,2003,,,,3616,20.148405,41.4665484892
149,Al-Baaha,2005,,,,2698,20.148405,41.4665484892
150,Al-Jouf,2014,,,,9982,29.967745,39.5570371172
151,Al-Jouf,2012,,,,10246,29.967745,39.5570371172
152,Al-Jouf,1994,,,,2535,29.967745,39.5570371172
153,Al-Jouf,2004,,,,4601,29.967745,39.5570371172
154,Riyadh,2012,,,,23888,23.081434,45.5857512766
155,Riyadh,1993,,,,103886,23.081434,45.5857512766
156,Riyadh,1995,,,,101608,23.081434,45.5857512766
157,Riyadh,1994,,,,110545,23.081434,45.5857512766
158,Riyadh,2014,,,,194208,23.081434,45.5857512766
159,Riyadh,1996,,,,110131,23.081434,45.5857512766
160,Al-Jouf,2005,,,,3558,29.967745,39.5570371172
161,Al-Jouf,2008,,,,10929,29.967745,39.5570371172
162,Al-Jouf,2009,,,,10567,29.967745,39.5570371172
163,Northern Boarder,2010,,,,3064,30.197075,41.8171186952
164,Northern Boarder,1996,,,,1383,30.197075,41.8171186952
165,Northern Boarder,2002,,,,2268,30.197075,41.8171186952
166,Northern Boarder,2009,,,,3649,30.197075,41.8171186952
167,Jazan,2015,,,,13931,17.207232,42.6525807422
168,Jazan,2013,,,,14175,17.207232,42.6525807422
169,Jazan,2007,,,,12634,17.207232,42.6525807422
170,Jazan,2005,,,,5502,17.207232,42.6525807422
171,Najran,2015,,,,1864,18.4511,46.868849572600006
172,Najran,1996,,,,3274,18.4511,46.868849572600006
173,Najran,2008,,,,7938,18.4511,46.868849572600006
174,Al-Baaha,1999,,,,4246,20.148405,41.4665484892
175,Al-Baaha,2000,,,,4832,20.148405,41.4665484892
176,Al-Baaha,2001,,,,7594,20.148405,41.4665484892
177,Al-Baaha,2007,,,,997,20.148405,41.4665484892
178,Al-Jouf,2015,,,,10233,29.967745,39.5570371172
179,Al-Jouf,1997,,,,3565,29.967745,39.5570371172
180,Al-Jouf,1998,,,,3476,29.967745,39.5570371172
181,Al-Jouf,2002,,,,5940,29.967745,39.5570371172
182,Al-Jouf,2006,,,,4846,29.967745,39.5570371172
183,Makkah,1993,,,,65977,21.628963,41.2636898334
184,Makkah,1995,,,,60356,21.628963,41.2636898334
185,Makkah,2001,,,,85593,21.628963,41.2636898334
186,Madinah,2001,,,,13561,24.927534,39.4918237173
187,Madinah,2006,,,,11204,24.927534,39.4918237173
188,Madinah,2009,,,,11574,24.927534,39.4918237173
189,Qassim,2001,,,,14718,26.196707,43.3429998455
190,Eastern Region,2013,,,,123325,23.28833,50.1478302439
191,Eastern Region,1996,,,,8461,23.28833,50.1478302439
192,Eastern Region,2002,,,,85035,23.28833,50.1478302439
193,Eastern Region,2000,,,,65767,23.28833,50.1478302439
194,Eastern Region,2001,,,,74119,23.28833,50.1478302439
195,Eastern Region,2006,,,,79517,23.28833,50.1478302439
196,Eastern Region,2007,,,,106511,23.28833,50.1478302439
197,Eastern Region,2008,,,,104626,23.28833,50.1478302439
198,Asir,2014,,,,29552,19.138784,42.941470036
199,Asir,2011,,,,24515,19.138784,42.941470036
200,Asir,1999,,,,14625,19.138784,42.941470036
201,Asir,2002,,,,20417,19.138784,42.941470036
202,Asir,2000,,,,18622,19.138784,42.941470036
203,Asir,2006,,,,20330,19.138784,42.941470036
204,Asir,2007,,,,10835,19.138784,42.941470036
205,Tabouk,2015,,,,915,27.901655,37.2598581394
206,Tabouk,1993,,,,3174,27.901655,37.2598581394
207,Tabouk,1997,,,,5426,27.901655,37.2598581394
208,Tabouk,2002,,,,8794,27.901655,37.2598581394
209,Tabouk,2005,,,,6511,27.901655,37.2598581394
210,Hail,1993,,,,10484,27.400846,41.4406960508
211,Hail,1996,,,,10267,27.400846,41.4406960508
212,Hail,2003,,,,3861,27.400846,41.4406960508
213,Hail,2006,,,,8166,27.400846,41.4406960508
214,Northern Boarder,2003,,,,1705,30.197075,41.8171186952
215,Jazan,1995,,,,2284,17.207232,42.6525807422
216,Jazan,1998,,,,2613,17.207232,42.6525807422
217,Jazan,2003,,,,5220,17.207232,42.6525807422
218,Jazan,2004,,,,5016,17.207232,42.6525807422
219,Najran,1993,,,,3769,18.4511,46.868849572600006
220,Najran,1997,,,,3073,18.4511,46.868849572600006
221,Najran,2002,,,,5117,18.4511,46.868849572600006
222,Najran,2005,,,,4779,18.4511,46.868849572600006
223,Al-Baaha,2010,,,,7076,20.148405,41.4665484892
224,Al-Baaha,2013,,,,7482,20.148405,41.4665484892
225,Al-Baaha,1997,,,,3027,20.148405,41.4665484892
226,Al-Baaha,2006,,,,3593,20.148405,41.4665484892
227,Al-Jouf,1993,,,,2884,29.967745,39.5570371172
228,Al-Jouf,1995,,,,2270,29.967745,39.5570371172
229,Al-Jouf,1999,,,,3950,29.967745,39.5570371172
230,Al-Jouf,2007,,,,9097,29.967745,39.5570371172
231,Riyadh,2010,,,,31378,23.081434,45.5857512766
232,Riyadh,2003,,,,26076,23.081434,45.5857512766
233,Riyadh,2000,,,,45345,23.081434,45.5857512766
234,Riyadh,2006,,,,36059,23.081434,45.5857512766
235,Riyadh,2008,,,,36798,23.081434,45.5857512766
236,Makkah,2011,,,,110647,21.628963,41.2636898334
237,Madinah,2011,,,,14630,24.927534,39.4918237173
238,Madinah,1993,,,,4122,24.927534,39.4918237173
239,Madinah,2002,,,,10494,24.927534,39.4918237173
240,Madinah,2005,,,,10210,24.927534,39.4918237173
241,Qassim,2012,,,,11421,26.196707,43.3429998455
242,Qassim,2004,,,,9390,26.196707,43.3429998455
243,Qassim,2005,,,,10480,26.196707,43.3429998455
244,Eastern Region,2014,,,,121774,23.28833,50.1478302439
245,Eastern Region,2010,,,,110295,23.28833,50.1478302439
246,Eastern Region,1995,,,,7831,23.28833,50.1478302439
247,Eastern Region,1994,,,,10918,23.28833,50.1478302439
248,Eastern Region,1997,,,,58814,23.28833,50.1478302439
249,Eastern Region,2003,,,,82697,23.28833,50.1478302439
250,Eastern Region,2009,,,,108544,23.28833,50.1478302439
251,Asir,2013,,,,29730,19.138784,42.941470036
252,Asir,2001,,,,20321,19.138784,42.941470036
253,Asir,2005,,,,18565,19.138784,42.941470036
254,Tabouk,2014,,,,12188,27.901655,37.2598581394
255,Tabouk,1995,,,,2051,27.901655,37.2598581394
256,Tabouk,2004,,,,7532,27.901655,37.2598581394
257,Hail,2015,,,,7172,27.400846,41.4406960508
258,Hail,2011,,,,9123,27.400846,41.4406960508
259,Hail,2012,,,,11082,27.400846,41.4406960508
260,Hail,1994,,,,11131,27.400846,41.4406960508
261,Hail,1998,,,,4708,27.400846,41.4406960508
262,Hail,2000,,,,3215,27.400846,41.4406960508
263,Northern Boarder,2015,,,,3837,30.197075,41.8171186952
264,Northern Boarder,2014,,,,5009,30.197075,41.8171186952
265,Northern Boarder,2013,,,,3921,30.197075,41.8171186952
266,Northern Boarder,1995,,,,1318,30.197075,41.8171186952
267,Northern Boarder,1994,,,,1457,30.197075,41.8171186952
268,Northern Boarder,1997,,,,1531,30.197075,41.8171186952
269,Northern Boarder,2007,,,,3479,30.197075,41.8171186952
270,Northern Boarder,2008,,,,3519,30.197075,41.8171186952
271,Jazan,2012,,,,11156,17.207232,42.6525807422
272,Jazan,1996,,,,2226,17.207232,42.6525807422
273,Jazan,2002,,,,5254,17.207232,42.6525807422
274,Jazan,2006,,,,7955,17.207232,42.6525807422
275,Riyadh,2015,,,,24548,23.081434,45.5857512766
276,Riyadh,1998,,,,114962,23.081434,45.5857512766
277,Riyadh,2002,,,,25423,23.081434,45.5857512766
278,Riyadh,2007,,,,36261,23.081434,45.5857512766
279,Riyadh,2004,,,,23479,23.081434,45.5857512766
280,Riyadh,2009,,,,38014,23.081434,45.5857512766
281,Makkah,1996,,,,46195,21.628963,41.2636898334
282,Najran,2014,,,,9601,18.4511,46.868849572600006
283,Najran,2011,,,,7314,18.4511,46.868849572600006
284,Najran,1994,,,,3880,18.4511,46.868849572600006
285,Najran,1998,,,,4322,18.4511,46.868849572600006
286,Najran,2001,,,,4950,18.4511,46.868849572600006
287,Najran,2004,,,,4609,18.4511,46.868849572600006
288,Al-Baaha,2004,,,,3410,20.148405,41.4665484892
289,Al-Baaha,2008,,,,5418,20.148405,41.4665484892
290,Al-Baaha,2009,,,,9815,20.148405,41.4665484892
291,Al-Jouf,2011,,,,10180,29.967745,39.5570371172
292,Al-Jouf,2013,,,,11602,29.967745,39.5570371172
293,Al-Jouf,2003,,,,3852,29.967745,39.5570371172
294,Makkah,2002,,,,88593,21.628963,41.2636898334
295,Makkah,2003,,,,74236,21.628963,41.2636898334
296,Makkah,2007,,,,91902,21.628963,41.2636898334
297,Madinah,2015,,,,22744,24.927534,39.4918237173
298,Madinah,1997,,,,10495,24.927534,39.4918237173
299,Madinah,2008,,,,9194,24.927534,39.4918237173
300,Qassim,2011,,,,10760,26.196707,43.3429998455
301,Qassim,1993,,,,73618,26.196707,43.3429998455
302,Qassim,1997,,,,10092,26.196707,43.3429998455
303,Qassim,1999,,,,9983,26.196707,43.3429998455
304,Qassim,1998,,,,11350,26.196707,43.3429998455
305,Qassim,2002,,,,16298,26.196707,43.3429998455
306,Qassim,2008,,,,22236,26.196707,43.3429998455
307,Qassim,2009,,,,27571,26.196707,43.3429998455
308,Eastern Region,1993,,,,9964,23.28833,50.1478302439
309,Eastern Region,1999,,,,64973,23.28833,50.1478302439
310,Eastern Region,1998,,,,70650,23.28833,50.1478302439
311,Eastern Region,2004,,,,84984,23.28833,50.1478302439
312,Eastern Region,2005,,,,82505,23.28833,50.1478302439
313,Asir,2010,,,,21835,19.138784,42.941470036
314,Asir,1993,,,,6226,19.138784,42.941470036
315,Asir,1994,,,,5185,19.138784,42.941470036
316,Asir,2004,,,,17947,19.138784,42.941470036
317,Asir,2009,,,,21582,19.138784,42.941470036
318,Tabouk,2012,,,,11391,27.901655,37.2598581394
319,Tabouk,1999,,,,5298,27.901655,37.2598581394
320,Tabouk,2000,,,,8473,27.901655,37.2598581394
321,Tabouk,2006,,,,8259,27.901655,37.2598581394
322,Hail,2013,,,,9731,27.400846,41.4406960508
323,Hail,1997,,,,6606,27.400846,41.4406960508
324,Hail,1999,,,,3139,27.400846,41.4406960508
